"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ABCM","Abcam plc","18.76","167812289.68","8945218","2020","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/abcm",
"ABEO","Abeona Therapeutics Inc.","1.46","143850475.58","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/abeo",
"ANF","Abercrombie & Fitch Company","21.53","1343271168.16","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/anf",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","4.37","1082430510.53","n/a","1986","n/a","n/a","https://old.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","5.16","117350402.16","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/iaf",
"AEF","Aberdeen Emerging Markets Equity Income Fund, Inc.","7.92","401954081.76","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/aef",
"AGD","Aberdeen Global Dynamic Dividend Fund","10.25","128633215.5","n/a","2006","n/a","n/a","https://old.nasdaq.com/symbol/agd",
"FCO","Aberdeen Global Income Fund, Inc.","7.745","67573490.805","n/a","1992","n/a","n/a","https://old.nasdaq.com/symbol/fco",
"AWP","Aberdeen Global Premier Properties Fund","5.14","438996868.14","n/a","2007","n/a","n/a","https://old.nasdaq.com/symbol/awp",
"ACP","Aberdeen Income Credit Strategies Fund","10.62","185128859.52","n/a","2011","n/a","n/a","https://old.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","9.5283","127760553.5688","n/a","1992","n/a","n/a","https://old.nasdaq.com/symbol/jeq",
"ASGI","Aberdeen Standard Global Infrastructure Income Fund","18.66","0","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/asgi",
"AOD","Aberdeen Total Dynamic Dividend Fund","8.78","925684171.22","n/a","2007","n/a","n/a","https://old.nasdaq.com/symbol/aod",
"ABMD","ABIOMED, Inc.","266.15","12027287360.45","n/a","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/abmd",
"ABM","ABM Industries Incorporated","40.65","2710830736.95","n/a","n/a","Finance","Diversified Commercial Services","https://old.nasdaq.com/symbol/abm",
"AXAS","Abraxas Petroleum Corporation","2.42","20336385.3","n/a","n/a","Energy","Oil & Gas Production","https://old.nasdaq.com/symbol/axas",
"ABST","Absolute Software Corporation","10.24","499484549.12","n/a","2020","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/abst",
"ACIU","AC Immune SA","4.91","352249709.35","n/a","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","70.21","2958929537.9","n/a","2016","Technology","Semiconductors","https://old.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","3.59","176913236.27","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/actg",
"ASO","Academy Sports and Outdoors, Inc.","16.85","1514993441.5","n/a","2020","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/aso",
"ACHC","Acadia Healthcare Company, Inc.","46.18","4109616017.36","n/a","n/a","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","52.33","8319323292.71","n/a","1985","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acad",
"AKR","Acadia Realty Trust","14.8","1276767924.4","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/akr",
"ACAM","Acamar Partners Acquisition Corp.","10.38","396481247.76","n/a","2019","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/acam",
"ACAMU","Acamar Partners Acquisition Corp.","10.81","0","n/a","2019","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/acamu",
"ACAMW","Acamar Partners Acquisition Corp.","1.74","0","n/a","2019","Consumer Durables","Automotive Aftermarket","https://old.nasdaq.com/symbol/acamw",
"ACST","Acasti Pharma, Inc.","0.2645","25628076.0365","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acst",
"ACEL","Accel Entertainment, Inc.","9.85","952338483.5","n/a","2017","Consumer Services","Services-Misc. Amusement & Recreation","https://old.nasdaq.com/symbol/acel",
"AXDX","Accelerate Diagnostics, Inc.","7.04","401489045.76","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/axdx",
"ACCP","Accelerated Pharma, Inc.","n/a","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/accp",
"XLRN","Acceleron Pharma Inc.","121.48","7319414417.76","n/a","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/xlrn",
"ACN","Accenture plc","246.77","156475241643.58","n/a","2001","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/acn",
"ACCO","Acco Brands Corporation","8.47","800388209.39","n/a","n/a","Consumer Durables","Publishing","https://old.nasdaq.com/symbol/acco",
"ACCD","Accolade, Inc.","55.83","3072836526.12","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/accd",
"ARAY","Accuray Incorporated","4.4","401286415.2","n/a","2007","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/aray",
"ACEV","ACE Convergence Acquisition Corp.","10.18","292675000","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/acev",
"ACEVU","ACE Convergence Acquisition Corp.","10.67","0","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/acevu",
"ACEVW","ACE Convergence Acquisition Corp.","1.1","0","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/acevw",
"ACLL","ACell, Inc.","n/a","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/acll",
"ACRX","AcelRx Pharmaceuticals, Inc.","1.39","125763882.07","n/a","2011","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrx",
"ACER","Acer Therapeutics Inc.","2.34","28746911.7","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acer",
"ACHV","Achieve Life Sciences, Inc. ","7.67","27747482.88","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://old.nasdaq.com/symbol/achv",
"ACIW","ACI Worldwide, Inc.","38.67","4515168403.77","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/aciw",
"ACACU","Acies Acquisition Corp.","10.23","0","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/acacu",
"ACRS","Aclaris Therapeutics, Inc.","3.69","158372183.79","n/a","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","73.73","1361411473.52","n/a","2017","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acmr",
"ACU","Acme United Corporation.","29.35","97997096.55","n/a","1988","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/acu",
"ACNB","ACNB Corporation","27.51","239428140.63","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/acnb",
"STWO","ACON S2 Acquisition Corp.","10.03","313437500","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/stwo",
"STWOU","ACON S2 Acquisition Corp.","10.45","0","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/stwou",
"STWOW","ACON S2 Acquisition Corp.","1.36","0","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/stwow",
"ACOR","Acorda Therapeutics, Inc.","0.7638","43438543.356","n/a","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/acor",
"ATV","Acorn International, Inc.","20.72","53270125.44","n/a","2007","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/atv",
"ATNM","Actinium Pharmaceuticals, Inc.","11.14","151353888.5","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/atnm",
"ATVI","Activision Blizzard, Inc","82.58","63822546337.3","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/atvi",
"AYI","Acuity Brands, Inc. ","117","4309844292","n/a","n/a","Consumer Durables","Building Products","https://old.nasdaq.com/symbol/ayi",
"GOLF","Acushnet Holdings Corp.","39.49","2933890081.43","n/a","2016","Consumer Non-Durables","Recreational Products/Toys","https://old.nasdaq.com/symbol/golf",
"AFIB","Acutus Medical, Inc.","29.13","811156397.79","n/a","2020","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/afib",
"ADMS","Adamas Pharmaceuticals, Inc.","4.96","141461774.24","n/a","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","0.4902","45910969.2456","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/admp",
"ADX","Adams Diversified Equity Fund, Inc.","17.09","1857398827.48","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","11.8","351384895.8","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/peo",
"AE","Adams Resources & Energy, Inc.","26.63","112972022.92","n/a","n/a","Energy","Oil Refining/Marketing","https://old.nasdaq.com/symbol/ae",
"AHCO","AdaptHealth Corp. ","35.31","3169518959.64","n/a","2018","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/ahco",
"ADAP","Adaptimmune Therapeutics plc","4.14","563451420.78","136099377","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adap",
"ADPT","Adaptive Biotechnologies Corporation","51.79","7083443476.43","n/a","2019","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adpt",
"ADCT","ADC Therapeutics SA","34.34","2634518372.32","n/a","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adct",
"ADXN","Addex Therapeutics Ltd","12.85","3868942.25","301085","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adxn",
"ADUS","Addus HomeCare Corporation","104.28","1648532070.24","n/a","2009","Health Care","Medical/Nursing Services","https://old.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","3.88","45741087.2","n/a","n/a","Consumer Services","Office Equipment/Supplies/Services","https://old.nasdaq.com/symbol/aey",
"AGRO","Adecoagro S.A.","6.42","753316277.28","n/a","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/agro",
"ADIL","Adial Pharmaceuticals, Inc","2.02","29074062","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adil",
"ADILW","Adial Pharmaceuticals, Inc","0.3698","0","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adilw",
"ACET","Adicet Bio, Inc.","12.87","252121086.36","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/acet",
"ADNT","Adient plc","37.35","3506924802.15","n/a","2016","Capital Goods","Auto Parts:O.E.M.","https://old.nasdaq.com/symbol/adnt",
"ADTX","ADiTx Therapeutics, Inc.","2.04","25050571.68","n/a","2020","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adtx",
"ADMA","ADMA Biologics Inc","2.22","209896675.44","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/adma",
"ADBE","Adobe Inc.","483.74","232059260836.42","n/a","1986","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/adbe",
"ADT","ADT Inc.","8.63","7123704490.38","n/a","2018","Consumer Services","Diversified Commercial Services","https://old.nasdaq.com/symbol/adt",
"ATGE","Adtalem Global Education Inc.","31.5","1640878564.5","n/a","n/a","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/atge",
"ADTN","ADTRAN, Inc.","14.52","696324314.4","n/a","1994","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/adtn",
"AAP","Advance Auto Parts Inc","157.95","10717624435.05","n/a","n/a","Consumer Services","Other Specialty Stores","https://old.nasdaq.com/symbol/aap",
"WMS","Advanced Drainage Systems, Inc.","79.51","5603608300.74","n/a","2014","Capital Goods","Containers/Packaging","https://old.nasdaq.com/symbol/wms",
"ADES","Advanced Emissions Solutions, Inc.","5.62","104239124.94","n/a","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","97.41","3728145168.15","n/a","1995","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","89.83","108161992931.72","n/a","n/a","Technology","Semiconductors","https://old.nasdaq.com/symbol/amd",
"ASIX","AdvanSix Inc.","20.55","576022069.05","n/a","2016","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/asix",
"ADV","Advantage Solutions Inc. ","11.53","3613792348.46","n/a","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/adv",
"ADVWW","Advantage Solutions Inc. ","2.245","0","n/a","2019","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/advww",
"ADXS","Advaxis, Inc.","0.3149","34582850.8108","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/adxs",
"AVK","Advent Convertible and Income Fund","16.07","554820317.54","n/a","2003","n/a","n/a","https://old.nasdaq.com/symbol/avk",
"ADVM","Adverum Biotechnologies, Inc.","12.82","1249662870.46","n/a","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/advm",
"DWEQ","AdvisorShares Dorsey Wright Alpha Equal Weight ETF","26.61","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dweq",
"DWAW","AdvisorShares Dorsey Wright FSM All Cap World ETF","35.1886","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwaw",
"DWUS","AdvisorShares Dorsey Wright FSM US Core ETF","33.0165","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwus",
"DWMC","AdvisorShares Dorsey Wright Micro-Cap ETF","26.3443","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwmc",
"DWSH","AdvisorShares Dorsey Wright Short ETF","11.52","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwsh",
"IMPX","AEA-Bridges Impact Corp.","9.96","512940000","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/impx",
"IMPX.U","AEA-Bridges Impact Corp.","n/a","0","n/a","2020","n/a","n/a","https://old.nasdaq.com/symbol/impx.u",
"IMPX.WS","AEA-Bridges Impact Corp.","n/a","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/impx.ws",
"ACM","AECOM","49.19","7416070879.29","n/a","2007","Consumer Services","Military/Government/Technical","https://old.nasdaq.com/symbol/acm",
"AEGN","Aegion Corp","19.37","596070143.24","n/a","n/a","Basic Industries","Water Supply","https://old.nasdaq.com/symbol/aegn",
"AGLE","Aeglea BioTherapeutics, Inc.","7.68","368156981.76","n/a","2016","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agle",
"AEFC","Aegon Funding Company LLC","26.22","0","n/a","2019","Finance","Life Insurance","https://old.nasdaq.com/symbol/aefc",
"AEB","Aegon NV","24.95","0","n/a","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeb",
"AEG","Aegon NV","3.8","7708373625","n/a","n/a","Finance","Life Insurance","https://old.nasdaq.com/symbol/aeg",
"AEHR","Aehr Test Systems","2.13","49650964.56","n/a","1997","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","2.32","50612317.28","n/a","n/a","Basic Industries","Major Chemicals","https://old.nasdaq.com/symbol/amtx",
"AENZ","Aenza S.A.A.","2.39","416776734.69","n/a","2018","Basic Industries","Military/Government/Technical","https://old.nasdaq.com/symbol/aenz",
"ARBGU","Aequi Acquisition Corp.","10.02","0","n/a","2020","Finance","Business Services","https://old.nasdaq.com/symbol/arbgu",
"AER","Aercap Holdings N.V.","41.85","5430314254.05","n/a","2006","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/aer",
"AERI","Aerie Pharmaceuticals, Inc.","12.05","564118255.65","n/a","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/aeri",
"ACY","AeroCentury Corp.","2.36","3648286.24","n/a","n/a","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/acy",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","41.97","3206508000","n/a","n/a","Capital Goods","Military/Government/Technical","https://old.nasdaq.com/symbol/ajrd",
"AVAV","AeroVironment, Inc.","88.44","2131807640.16","n/a","2007","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/avav",
"ARPO","Aerpio Pharmaceuticals, Inc.","2.06","97050017.54","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/arpo",
"AIH","Aesthetic Medical International Holdings Group Ltd.","5.02","18616102.74","3708387","2019","Health Care","Medical Specialities","https://old.nasdaq.com/symbol/aih",
"AEZS","AEterna Zentaris Inc.","0.389","24381980.457","n/a","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/aezs",
"AEMD","Aethlon Medical, Inc.","1.66","20066599.58","n/a","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/aemd",
"AMG","Affiliated Managers Group, Inc.","98.32","4459899320.88","n/a","n/a","Finance","Investment Managers","https://old.nasdaq.com/symbol/amg",
"MGR","Affiliated Managers Group, Inc.","27.8","0","n/a","2019","Finance","Investment Managers","https://old.nasdaq.com/symbol/mgr",
"MGRB","Affiliated Managers Group, Inc.","26.72","0","n/a","2020","Finance","Investment Managers","https://old.nasdaq.com/symbol/mgrb",
"AFMD","Affimed N.V.","6.16","544088406.4","n/a","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/afmd",
"AFL","Aflac Incorporated","45.12","31694329454.4","n/a","n/a","Finance","Accident &Health Insurance","https://old.nasdaq.com/symbol/afl",
"AFYA","Afya Limited","24.54","2287197276.42","n/a","2019","Consumer Services","Other Consumer Services","https://old.nasdaq.com/symbol/afya",
"MITT","AG Mortgage Investment Trust, Inc.","3.28","133567605.68","n/a","2011","n/a","n/a","https://old.nasdaq.com/symbol/mitt",
"MITT^A","AG Mortgage Investment Trust, Inc.","19.91","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^a",
"MITT^B","AG Mortgage Investment Trust, Inc.","19.8519","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^b",
"MITT^C","AG Mortgage Investment Trust, Inc.","19.89","0","n/a","n/a","n/a","n/a","https://old.nasdaq.com/symbol/mitt^c",
"AGBA","AGBA Acquisition Limited","10.45","62438750","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agba",
"AGBAR","AGBA Acquisition Limited","0.33","0","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbar",
"AGBAU","AGBA Acquisition Limited","11.4","0","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbau",
"AGBAW","AGBA Acquisition Limited","0.37","0","n/a","2019","Finance","Business Services","https://old.nasdaq.com/symbol/agbaw",
"AGCO","AGCO Corporation","89.97","6738709094.64","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://old.nasdaq.com/symbol/agco",
"UAVS","AgEagle Aerial Systems, Inc.","2.69","155967214.13","n/a","n/a","Capital Goods","Aerospace","https://old.nasdaq.com/symbol/uavs",
"AGEN","Agenus Inc.","3.27","621788214.27","n/a","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://old.nasdaq.com/symbol/agen",
"AGE","AgeX Therapeutics, Inc.","1.7","64071305.1","n/a","2018","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/age",
"AGRX","Agile Therapeutics, Inc.","2.89","252686005.56","n/a","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agrx",
"A","Agilent Technologies, Inc.","116.4","35618400000","n/a","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://old.nasdaq.com/symbol/a",
"AGYS","Agilysys, Inc.","39.44","930437440.72","n/a","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","33.8","2340981814.6","n/a","2013","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/agio",
"AGMH","AGM Group Holdings Inc.","15.19","438855125.45","n/a","2018","Technology","EDP Services","https://old.nasdaq.com/symbol/agmh",
"AGNC","AGNC Investment Corp.","15.6","8505300476.4","n/a","2008","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agnc",
"AGNCM","AGNC Investment Corp.","24.05","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncm",
"AGNCN","AGNC Investment Corp.","24.98","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncn",
"AGNCO","AGNC Investment Corp.","23.95","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agnco",
"AGNCP","AGNC Investment Corp.","23.1","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/agncp",
"AEM","Agnico Eagle Mines Limited","70.76","17148712818.04","n/a","n/a","Basic Industries","Precious Metals","https://old.nasdaq.com/symbol/aem",
"API","Agora, Inc.","43.33","872016250","20125000","2020","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/api",
"ADC","Agree Realty Corporation","65.86","3646702776.5","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/adc",
"AGFS","AgroFresh Solutions, Inc.","2.47","131045751.2","n/a","2014","Finance","Business Services","https://old.nasdaq.com/symbol/agfs",
